,GAME_ID,GAME_DATE,HOME_SCORE,AWAY_SCORE,HOME_TEAM_ID,AWAY_TEAM_ID
397,0022000413,2021-02-14,112,116,1610612761,1610612750
398,0022000415,2021-02-14,109,114,1610612749,1610612760
399,0022000424,2021-02-15,98,129,1610612739,1610612744
400,0022000422,2021-02-15,112,123,1610612737,1610612752
401,0022000425,2021-02-15,125,118,1610612746,1610612748
402,0022000423,2021-02-15,134,123,1610612762,1610612755
403,0022000420,2021-02-15,112,120,1610612754,1610612741
404,0022000426,2021-02-15,125,136,1610612758,1610612751
405,0022000421,2021-02-15,119,131,1610612745,1610612764
406,0022000433,2021-02-16,128,124,1610612751,1610612756
407,0022000427,2021-02-16,112,99,1610612738,1610612743
408,0022000430,2021-02-16,124,113,1610612761,1610612749
409,0022000431,2021-02-16,104,112,1610612750,1610612747
410,0022000432,2021-02-16,115,104,1610612757,1610612760
411,0022000429,2021-02-16,144,113,1610612740,1610612763
412,0022000439,2021-02-17,118,113,1610612755,1610612745
413,0022000443,2021-02-17,120,112,1610612744,1610612748
414,0022000564,2021-02-17,102,105,1610612765,1610612741
415,0022000438,2021-02-17,114,122,1610612738,1610612737
416,0022000444,2021-02-17,96,114,1610612746,1610612762
417,0022000436,2021-02-17,107,89,1610612753,1610612752
418,0022000440,2021-02-17,134,128,1610612754,1610612750
419,0022000437,2021-02-17,128,130,1610612743,1610612764
420,0022000562,2021-02-17,122,113,1610612763,1610612760
421,0022000441,2021-02-17,124,126,1610612740,1610612757
422,0022000446,2021-02-18,109,98,1610612751,1610612747
423,0022000445,2021-02-18,96,110,1610612749,1610612761
424,0022000447,2021-02-18,118,110,1610612748,1610612758
425,0022000450,2021-02-19,105,112,1610612741,1610612755
426,0022000451,2021-02-19,109,121,1610612737,1610612738
427,0022000457,2021-02-19,116,112,1610612746,1610612762
428,0022000449,2021-02-19,120,124,1610612744,1610612753
429,0022000563,2021-02-19,120,103,1610612743,1610612739
430,0022000453,2021-02-19,85,98,1610612760,1610612749
431,0022000454,2021-02-19,86,81,1610612761,1610612750
432,0022000452,2021-02-19,95,109,1610612765,1610612763
433,0022000455,2021-02-19,114,132,1610612740,1610612756
434,0022000463,2021-02-20,94,96,1610612747,1610612748
435,0022000460,2021-02-20,122,114,1610612741,1610612758
436,0022000464,2021-02-20,111,118,1610612757,1610612764
437,0022000459,2021-02-20,102,100,1610612766,1610612744
438,0022000462,2021-02-20,128,97,1610612756,1610612763
439,0022000469,2021-02-21,99,103,1610612750,1610612752
440,0022000472,2021-02-21,108,112,1610612746,1610612751
441,0022000467,2021-02-21,105,96,1610612753,1610612765
442,0022000466,2021-02-21,101,117,1610612739,1610612760
443,0022000471,2021-02-21,128,115,1610612749,1610612758
444,0022000470,2021-02-21,115,123,1610612743,1610612737
445,0022000468,2021-02-21,110,103,1610612761,1610612755
446,0022000465,2021-02-21,115,120,1610612738,1610612740
447,0022000479,2021-02-22,124,127,1610612747,1610612764
448,0022000477,2021-02-22,132,100,1610612756,1610612757
449,0022000474,2021-02-22,100,120,1610612745,1610612741
450,0022000478,2021-02-22,132,110,1610612762,1610612766
451,0022000476,2021-02-22,92,102,1610612763,1610612742
452,0022000475,2021-02-22,108,94,1610612748,1610612760
453,0022000483,2021-02-23,114,106,1610612744,1610612752
454,0022000482,2021-02-23,118,127,1610612758,1610612751
455,0022000488,2021-02-23,135,116,1610612746,1610612764
456,0022000481,2021-02-23,93,105,1610612753,1610612765
457,0022000480,2021-02-23,112,111,1610612739,1610612737
458,0022000486,2021-02-23,112,139,1610612750,1610612749
459,0022000485,2021-02-23,110,107,1610612742,1610612738
460,0022000487,2021-02-23,106,111,1610612757,1610612743
461,0022000484,2021-02-23,109,102,1610612755,1610612761
462,0022000493,2021-02-24,126,133,1610612750,1610612741
463,0022000496,2021-02-24,124,121,1610612766,1610612756
464,0022000491,2021-02-24,96,112,1610612745,1610612739
465,0022000492,2021-02-24,116,108,1610612748,1610612761
466,0022000497,2021-02-24,114,89,1610612762,1610612747
467,0022000489,2021-02-24,111,107,1610612744,1610612754
468,0022000490,2021-02-24,112,127,1610612738,1610612737
469,0022000495,2021-02-24,102,99,1610612760,1610612759
470,0022000494,2021-02-24,128,118,1610612740,1610612765
471,0022000498,2021-02-25,111,97,1610612755,1610612742
472,0022000500,2021-02-25,140,121,1610612752,1610612758
473,0022000499,2021-02-25,92,129,1610612753,1610612751
474,0022000503,2021-02-25,129,125,1610612749,1610612740
475,0022000502,2021-02-25,110,112,1610612743,1610612764
476,0022000501,2021-02-25,94,122,1610612746,1610612763
477,0022000511,2021-02-26,130,121,1610612744,1610612766
478,0022000512,2021-02-26,102,93,1610612747,1610612757
479,0022000508,2021-02-26,97,106,1610612741,1610612756
480,0022000505,2021-02-26,112,118,1610612754,1610612738
481,0022000507,2021-02-26,124,116,1610612748,1610612762
482,0022000504,2021-02-26,110,107,1610612758,1610612765
483,0022000506,2021-02-26,111,122,1610612745,1610612761
484,0022000510,2021-02-26,118,109,1610612760,1610612737
485,0022000509,2021-02-26,119,99,1610612746,1610612763
486,0022000513,2021-02-27,109,112,1610612755,1610612739
487,0022000514,2021-02-27,114,117,1610612740,1610612759
488,0022000515,2021-02-27,107,110,1610612754,1610612752
489,0022000519,2021-02-27,98,115,1610612751,1610612742
490,0022000516,2021-02-27,124,109,1610612762,1610612753
491,0022000517,2021-02-27,128,112,1610612764,1610612750
492,0022000518,2021-02-27,126,96,1610612743,1610612760
493,0022000527,2021-02-28,91,117,1610612744,1610612747
494,0022000524,2021-02-28,110,111,1610612764,1610612738
495,0022000525,2021-02-28,133,84,1610612763,1610612745
496,0022000522,2021-02-28,99,109,1610612737,1610612748
497,0022000521,2021-02-28,109,90,1610612752,1610612765
498,0022000520,2021-02-28,105,100,1610612749,1610612746
499,0022000528,2021-02-28,127,126,1610612766,1610612758
500,0022000526,2021-02-28,118,99,1610612756,1610612750
501,0022000530,2021-03-01,114,130,1610612754,1610612755
502,0022000534,2021-03-01,124,113,1610612751,1610612759
503,0022000531,2021-03-01,112,118,1610612741,1610612743
504,0022000529,2021-03-01,130,124,1610612742,1610612753
505,0022000532,2021-03-01,101,90,1610612739,1610612745
506,0022000535,2021-03-01,123,111,1610612757,1610612766
507,0022000533,2021-03-01,124,129,1610612762,1610612740
508,0022000541,2021-03-02,119,93,1610612759,1610612752
509,0022000542,2021-03-02,104,114,1610612747,1610612756
510,0022000537,2021-03-02,112,117,1610612746,1610612738
511,0022000538,2021-03-02,80,94,1610612748,1610612737
512,0022000540,2021-03-02,97,128,1610612749,1610612743
513,0022000536,2021-03-02,111,125,1610612764,1610612763
514,0022000545,2021-03-03,131,123,1610612755,1610612762
515,0022000544,2021-03-03,112,115,1610612753,1610612737
516,0022000546,2021-03-03,132,114,1610612751,1610612745
517,0022000543,2021-03-03,111,114,1610612739,1610612754
518,0022000550,2021-03-03,106,108,1610612744,1610612757
519,0022000549,2021-03-03,78,87,1610612760,1610612742
520,0022000551,2021-03-03,123,120,1610612758,1610612747
521,0022000547,2021-03-03,135,102,1610612766,1610612750
522,0022000539,2021-03-03,129,105,1610612765,1610612761
523,0022000548,2021-03-03,128,124,1610612741,1610612740
524,0022000556,2021-03-04,102,107,1610612759,1610612760
525,0022000565,2021-03-04,104,114,1610612765,1610612752
526,0022000185,2021-03-04,120,98,1610612756,1610612744
527,0022000552,2021-03-04,132,125,1610612738,1610612761
528,0022000558,2021-03-04,123,119,1610612757,1610612758
529,0022000553,2021-03-04,103,113,1610612754,1610612743
530,0022000554,2021-03-04,117,119,1610612746,1610612764
531,0022000555,2021-03-04,111,112,1610612763,1610612749
532,0022000557,2021-03-04,93,103,1610612740,1610612748
533,0022000567,2021-03-10,104,115,1610612759,1610612742
534,0022000566,2021-03-10,127,112,1610612763,1610612764
535,0022000572,2021-03-11,127,105,1610612755,1610612741
536,0022000569,2021-03-11,121,109,1610612751,1610612738
537,0022000576,2021-03-11,104,130,1610612744,1610612746
538,0022000571,2021-03-11,103,111,1610612753,1610612748
539,0022000577,2021-03-11,121,127,1610612757,1610612756
540,0022000573,2021-03-11,101,134,1610612752,1610612749
541,0022000578,2021-03-11,125,105,1610612758,1610612745
542,0022000568,2021-03-11,105,102,1610612766,1610612765
543,0022000570,2021-03-11,120,121,1610612761,1610612737
544,0022000575,2021-03-11,116,108,1610612760,1610612742
545,0022000574,2021-03-11,135,105,1610612750,1610612740
546,0022000583,2021-03-12,104,77,1610612759,1610612753
547,0022000585,2021-03-12,105,100,1610612747,1610612754
548,0022000582,2021-03-12,90,101,1610612741,1610612748
549,0022000584,2021-03-12,114,99,1610612762,1610612745
550,0022000579,2021-03-12,101,127,1610612764,1610612755
551,0022000580,2021-03-12,102,103,1610612763,1610612743
552,0022000581,2021-03-12,116,82,1610612740,1610612739
553,0022000194,2021-03-13,122,111,1610612754,1610612756
554,0022000587,2021-03-13,100,95,1610612751,1610612765
555,0022000590,2021-03-13,121,106,1610612737,1610612758
556,0022000592,2021-03-13,103,116,1610612743,1610612742
557,0022000591,2021-03-13,125,121,1610612757,1610612750
558,0022000588,2021-03-13,114,104,1610612766,1610612761
559,0022000589,2021-03-13,125,119,1610612749,1610612764
560,0022000586,2021-03-13,97,119,1610612760,1610612752
561,0022000595,2021-03-14,99,134,1610612759,1610612755
562,0022000594,2021-03-14,119,131,1610612762,1610612744
563,0022000600,2021-03-14,118,95,1610612741,1610612761
