,TeamID,SEASON,LeagueID,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,NICKNAME,HOW_ACQUIRED
14,1610612748,2022,00,Duncan Robinson,duncan-robinson,55,F,6-7,215,"APR 22, 1994",28.0,4,Michigan,1629130,Duncan,Signed on 07/10/18
15,1610612748,2022,00,Omer Yurtseven,omer-yurtseven,77,C,6-11,275,"JUN 19, 1998",24.0,1,Georgetown,1630209,Omer,Signed on 05/14/21
0,1610612749,2022,00,MarJon Beauchamp,marjon-beauchamp,0,F,6-7,199,"OCT 12, 2000",22.0,R,NBA G League Ignite,1630699,MarJon,#24 Pick in 2022 Draft
1,1610612749,2022,00,George Hill,george-hill,3,G,6-4,188,"MAY 04, 1986",36.0,14,Indiana-Purdue Indianapolis,201588,George,Signed on 08/06/21
2,1610612749,2022,00,Jevon Carter,jevon-carter,5,G,6-1,200,"SEP 14, 1995",27.0,4,West Virginia,1628975,Jevon,Signed on 02/24/22
3,1610612749,2022,00,Joe Ingles,joe-ingles,7,F-G,6-9,220,"OCT 02, 1987",35.0,8,Maccabi Tel Aviv,204060,Joe,Signed on 07/07/22
4,1610612749,2022,00,Bobby Portis,bobby-portis,9,F,6-11,250,"FEB 10, 1995",27.0,7,Arkansas,1626171,Bobby,Signed on 11/24/20
5,1610612749,2022,00,Brook Lopez,brook-lopez,11,C,7-1,282,"APR 01, 1988",34.0,14,Stanford,201572,Brook,Signed on 07/17/18
6,1610612749,2022,00,Grayson Allen,grayson-allen,12,G,6-4,198,"OCT 08, 1995",27.0,4,Duke,1628960,Grayson,Traded from MEM on 08/07/21
7,1610612749,2022,00,Jordan Nwora,jordan-nwora,13,F,6-9,225,"SEP 09, 1998",24.0,2,Louisville,1629670,Jordan,#45 Pick in 2020 Draft
8,1610612749,2022,00,A.J. Green,aj-green,20,G,6-5,190,"SEP 27, 1999",23.0,R,Northern Iowa,1631260,A.J.,Signed on 07/01/22
9,1610612749,2022,00,Jrue Holiday,jrue-holiday,21,G,6-5,205,"JUN 12, 1990",32.0,13,UCLA,201950,Jrue,Traded from NOP on 11/23/20
10,1610612749,2022,00,Khris Middleton,khris-middleton,22,F,6-7,222,"AUG 12, 1991",31.0,10,Texas A&M,203114,Khris,Traded from DET on 07/31/13
11,1610612749,2022,00,Wesley Matthews,wesley-matthews,23,G,6-5,220,"OCT 14, 1986",36.0,13,Marquette,202083,Wesley,Signed on 12/03/21
12,1610612749,2022,00,Pat Connaughton,pat-connaughton,24,G,6-5,209,"JAN 06, 1993",29.0,7,Notre Dame,1626192,Pat,Signed on 08/01/18
13,1610612749,2022,00,Serge Ibaka,serge-ibaka,25,F,6-11,235,"SEP 18, 1989",33.0,13,Ricoh Manresa,201586,Serge,Traded from LAC on 02/10/22
14,1610612749,2022,00,Giannis Antetokounmpo,giannis-antetokounmpo,34,F,7-0,243,"DEC 06, 1994",27.0,9,Filathlitikos,203507,Giannis,#15 Pick in 2013 Draft
15,1610612749,2022,00,Thanasis Antetokounmpo,thanasis-antetokounmpo,43,F,6-7,219,"JUL 18, 1992",30.0,4,Panathinaikos,203648,Thanasis,Signed on 07/16/19
16,1610612749,2022,00,Sandro Mamukelashvili,sandro-mamukelashvili,54,F-C,6-10,240,"MAY 23, 1999",23.0,1,Seton Hall,1630572,Sandro,Draft Rights Traded from IND on 07/30/21
0,1610612750,2022,00,D'Angelo Russell,dangelo-russell,0,G,6-4,193,"FEB 23, 1996",26.0,7,Ohio State,1626156,D'Angelo,Traded from GSW on 02/06/20
1,1610612750,2022,00,Anthony Edwards,anthony-edwards,1,G,6-4,225,"AUG 05, 2001",21.0,2,Georgia,1630162,Anthony,#1 Pick in 2020 Draft
2,1610612750,2022,00,Jaden McDaniels,jaden-mcdaniels,3,F,6-9,185,"SEP 29, 2000",22.0,2,Washington,1630183,Jaden,Draft Rights Traded from OKC on 11/20/20
3,1610612750,2022,00,Jaylen Nowell,jaylen-nowell,4,G,6-4,201,"JUL 09, 1999",23.0,3,Washington,1629669,Jaylen,#43 Pick in 2019 Draft
4,1610612750,2022,00,Kyle Anderson,kyle-anderson,5,F-G,6-9,230,"SEP 20, 1993",29.0,8,UCLA,203937,Kyle,Signed on 07/07/22
5,1610612750,2022,00,Jordan McLaughlin,jordan-mclaughlin,6,G,6-0,185,"APR 09, 1996",26.0,3,Southern California,1629162,Jordan,Signed on 07/19/19
6,1610612750,2022,00,Wendell Moore Jr.,wendell-moore-jr,7,G,6-5,215,"SEP 18, 2001",21.0,R,Duke,1631111,Wendell,Draft Rights Traded from HOU on 06/24/22
7,1610612750,2022,00,Josh Minott,josh-minott,8,F,6-8,205,"NOV 25, 2002",19.0,R,Memphis,1631169,Josh,Draft Rights Traded from CHA on 06/24/22
8,1610612750,2022,00,Bryn Forbes,bryn-forbes,10,G,6-2,205,"JUL 23, 1993",29.0,6,Michigan State,1627854,Bryn,Signed on 07/10/22
9,1610612750,2022,00,Naz Reid,naz-reid,11,C-F,6-9,264,"AUG 26, 1999",23.0,3,Louisiana State,1629675,Naz,Signed on 07/04/19
10,1610612750,2022,00,Taurean Prince,taurean-prince,12,F,6-6,218,"MAR 22, 1994",28.0,6,Baylor,1627752,Taurean,Traded from CLE on 08/02/21
11,1610612750,2022,00,Nathan Knight,nathan-knight,13,F-C,6-8,253,"SEP 20, 1997",25.0,2,William & Mary,1630233,Nathan,Signed on 08/04/21
12,1610612750,2022,00,Austin Rivers,austin-rivers,25,G,6-4,200,"AUG 01, 1992",30.0,10,Duke,203085,Austin,Signed on 07/19/22
13,1610612750,2022,00,Rudy Gobert,rudy-gobert,27,C,7-1,258,"JUN 26, 1992",30.0,9,Cholet,203497,Rudy,Traded from UTA on 07/06/22
14,1610612750,2022,00,Karl-Anthony Towns,karl-anthony-towns,32,C-F,7-0,248,"NOV 15, 1995",26.0,7,Kentucky,1626157,Karl-Anthony,#1 Pick in 2015 Draft
15,1610612750,2022,00,Luka Garza,luka-garza,55,C,6-10,243,"DEC 27, 1998",23.0,1,Iowa,1630568,Luka,Signed on 08/22/22
0,1610612751,2022,00,Royce O'Neale,royce-oneale,00,F,6-6,226,"JUN 05, 1993",29.0,5,Baylor,1626220,Royce,Traded from UTA on 06/30/22
1,1610612751,2022,00,T.J. Warren,tj-warren,1,F,6-8,220,"SEP 05, 1993",29.0,7,North Carolina State,203933,T.J.,Signed on 07/07/22
2,1610612751,2022,00,Edmond Sumner,edmond-sumner,4,G,6-4,196,"DEC 31, 1995",26.0,4,Xavier,1628410,Edmond,Traded from IND on 10/06/21
3,1610612751,2022,00,David Duke Jr.,david-duke-jr,6,G,6-4,204,"OCT 13, 1999",23.0,1,Providence,1630561,David,Signed on 08/08/21
4,1610612751,2022,00,Kevin Durant,kevin-durant,7,F,6-10,240,"SEP 29, 1988",34.0,14,Texas,201142,Kevin,Traded from GSW on 07/07/19
5,1610612751,2022,00,Patty Mills,patty-mills,8,G,6-0,180,"AUG 11, 1988",34.0,13,St. Mary's,201988,Patty,Signed on 08/10/21
6,1610612751,2022,00,Ben Simmons,ben-simmons,10,G-F,6-10,240,"JUL 20, 1996",26.0,4,Louisiana State,1627732,Ben,Traded from PHI on 02/10/22
7,1610612751,2022,00,Kyrie Irving,kyrie-irving,11,G,6-2,195,"MAR 23, 1992",30.0,11,Duke,202681,Kyrie,Signed on 07/06/19
8,1610612751,2022,00,Joe Harris,joe-harris,12,G-F,6-6,220,"SEP 06, 1991",31.0,8,Virginia,203925,Joe,Signed on 07/19/16
9,1610612751,2022,00,Markieff Morris,markieff-morris,13,F,6-9,245,"SEP 02, 1989",33.0,11,Kansas,202693,Markieff,Signed on 09/07/22
10,1610612751,2022,00,Kessler Edwards,kessler-edwards,14,F,6-7,203,"AUG 09, 2000",22.0,1,Pepperdine,1630556,Kessler,#44 Pick in 2021 Draft
11,1610612751,2022,00,Yuta Watanabe,yuta-watanabe,18,G-F,6-8,215,"OCT 13, 1994",28.0,4,George Washington,1629139,Yuta,Signed on 08/28/22
12,1610612751,2022,00,Day'Ron Sharpe,dayron-sharpe,20,C,6-9,265,"NOV 06, 2001",21.0,1,North Carolina,1630549,Day'Ron,Draft Rights Traded from PHX on 08/06/21
13,1610612751,2022,00,Cam Thomas,cam-thomas,24,G,6-3,210,"OCT 13, 2001",21.0,1,Louisiana State,1630560,Cam,#27 Pick in 2021 Draft
14,1610612751,2022,00,Seth Curry,seth-curry,30,G,6-1,185,"AUG 23, 1990",32.0,8,Duke,203552,Seth,Traded from PHI on 02/10/22
15,1610612751,2022,00,Alondes Williams,alondes-williams,31,G,6-4,210,"JUN 19, 1999",23.0,R,Wake Forest,1631214,Alondes,Signed on 07/04/22
16,1610612751,2022,00,Nic Claxton,nic-claxton,33,C,6-11,215,"APR 17, 1999",23.0,3,Georgia,1629651,Nic,#31 Pick in 2019 Draft
0,1610612752,2022,00,Cam Reddish,cam-reddish,0,F-G,6-7,217,"SEP 01, 1999",23.0,3,Duke,1629629,Cam,Traded from ATL on 01/13/22
1,1610612752,2022,00,Obi Toppin,obi-toppin,1,F,6-9,220,"MAR 04, 1998",24.0,2,Dayton,1630167,Obi,#8 Pick in 2020 Draft
2,1610612752,2022,00,Miles McBride,miles-mcbride,2,G,6-2,195,"SEP 08, 2000",22.0,1,West Virginia,1630540,Miles,Draft Rights Traded from OKC on 07/30/21
3,1610612752,2022,00,Trevor Keels,trevor-keels,3,G,6-4,221,"AUG 26, 2003",19.0,R,Duke,1631211,Trevor,#42 Pick in 2022 Draft
4,1610612752,2022,00,Derrick Rose,derrick-rose,4,G,6-3,200,"OCT 04, 1988",34.0,13,Memphis,201565,Derrick,Traded from DET on 02/08/21
5,1610612752,2022,00,Immanuel Quickley,immanuel-quickley,5,G,6-2,190,"JUN 17, 1999",23.0,2,Kentucky,1630193,Immanuel,Draft Rights Traded from OKC on 11/20/20
6,1610612752,2022,00,Quentin Grimes,quentin-grimes,6,G,6-5,210,"MAY 08, 2000",22.0,1,Houston,1629656,Quentin,Draft Rights Traded from LAC on 07/30/21
7,1610612752,2022,00,RJ Barrett,rj-barrett,9,F-G,6-6,214,"JUN 14, 2000",22.0,3,Duke,1629628,RJ,#3 Pick in 2019 Draft
8,1610612752,2022,00,Jalen Brunson,jalen-brunson,11,G,6-2,190,"AUG 31, 1996",26.0,4,Villanova,1628973,Jalen,Signed on 07/12/22
9,1610612752,2022,00,Evan Fournier,evan-fournier,13,G-F,6-6,205,"OCT 29, 1992",30.0,10,Poitiers Basket 86,203095,Evan,Traded from BOS on 08/17/21
10,1610612752,2022,00,Svi Mykhailiuk,svi-mykhailiuk,17,G-F,6-7,205,"JUN 10, 1997",25.0,4,Kansas,1629004,Svi,Signed on 09/18/22
11,1610612752,2022,00,Mitchell Robinson,mitchell-robinson,23,C-F,7-0,240,"APR 01, 1998",24.0,4,Western Kentucky,1629011,Mitchell,#36 Pick in 2018 Draft
12,1610612752,2022,00,Julius Randle,julius-randle,30,F-C,6-8,250,"NOV 29, 1994",27.0,8,Kentucky,203944,Julius,Signed on 07/08/19
